HostName,Env,OS,InstanceType,PrivateIp
RHEL7.7,Dev,RHEL,t3.micro,10.0.11.11
#RHEL8.3,Dev,RHEL,t3.micro,10.1.11.12
#SUSE15,Dev,SUSE,t3.micro,10.1.11.13
#SUSE12,Dev,SUSE,t3.micro,10.1.11.14
