region,vaultName,efsName,sourceEfsId,subnetId1,subnetId2,privateIp1,privateIp2,securityGroupId
ap-southeast-1,sgp-efs-backup-vault,EFS01,fs-16796337,subnet-0adb80099bbb7022d,subnet-050968bd48ff4ae54,10.1.11.101,10.1.12.101,sg-001fd05d72cd4d13d
#ap-southeast-1,sgp-efs-backup-vault,EFS02,fs-16796337,subnet-0adb80099bbb7022d,subnet-050968bd48ff4ae54,10.1.11.102,10.1.12.102,sg-001fd05d72cd4d13d
